Meter_Id,Date,Region_Code,Dwelling_Type,Num_Occupants,House_Area (sqft),Appliance_Score,Connected_Load(kw),Temperature_C,Humidity (%),Expected_Energy(kwh),Actual_Energy(kwh),Usage_Deviation(%),Cluster_Avg_Energy(kwh),Abnormal_Usage
IN-KL-ELC-97400511,25-01-2023,IN_KL_TVM,Independent House,2,2458,6,7.21,29.52,83.53,12.82 kWh,19.886033739870022 kWh,55.12,16.89,1
IN-KL-ELC-28113115,04-01-2023,IN_KL_ALP,Independent House,3,2295,9,7.98,25.83,48.79,14.66 kWh,15.51 kWh,5.8,17.83,0
IN-KL-ELC-17499006,04-01-2023,IN_KL_TVM,Apartment,3,2424,16,5.47,31.91,46.66,16.67 kWh,15.11 kWh,-9.36,17.26,0
IN-KL-ELC-22187937,21-01-2023,IN_KL_ERN,Apartment,1,2787,18,5.41,21.15,58.49,12.71 kWh,21.26104008352499 kWh,67.28,16.61,1
IN-KL-ELC-57403818,28-01-2023,IN_KL_ERN,Independent House,4,2389,10,2.99,30.91,77.26,13.53 kWh,12.67 kWh,-6.36,16.43,0
IN-KL-ELC-89330274,06-01-2023,IN_KL_ERN,Independent House,2,2501,18,6.94,28.45,61.15,16.51 kWh,15.79 kWh,-4.36,16.43,0
IN-KL-ELC-13794510,05-01-2023,IN_KL_TVM,Independent House,5,2791,20,4.67,29.76,72.91,19.13 kWh,null,49.34,16.89,1
IN-KL-ELC-27773185,25-01-2023,IN_KL_ALP,Apartment,6,2752,17,5.14,32.56,47.77,20.36 kWh,27.40876897292889 kWh,34.62,16.47,1
IN-KL-ELC-52308792,10-01-2023,IN_KL_ERN,Independent House,5,1614,17,6.43,22.8,64.85,17.37 kWh,17.8 kWh,2.48,16.43,0
IN-KL-ELC-55367153,04-01-2023,IN_KL_TVM,Independent House,1,490,12,6.27,34.75,69.76,14.14 kWh,14.08 kWh,-0.42,16.89,0
IN-KL-ELC-84064269,08-01-2023,IN_KL_ERN,Independent House,3,2423,10,2.56,30.98,52.45,12.1 kWh,11.41 kWh,-5.7,16.43,1
IN-KL-ELC-63187488,28-01-2023,IN_KL_ERN,Villa,2,1907,20,5.23,29.48,72.2,16.19 kWh,17.19 kWh,6.18,16.28,0
IN-KL-ELC-57335079,03-01-2023,IN_KL_ALP,Independent House,6,2319,18,4.08,29.71,57.48,19.08 kWh,19.81 kWh,3.83,17.83,0
IN-KL-ELC-49701826,04-01-2023,IN_KL_ALP,Independent House,6,2722,8,3.13,29.54,65.09,14.85 kWh,15.7 kWh,5.72,17.83,0
IN-KL-ELC-70260372,15-01-2023,IN_KL_ERN,Independent House,5,1054,8,4.03,34.54,78.14,null,14.55 kWh,-6.19,16.43,0
IN-KL-ELC-46350732,23-01-2023,IN_KL_ERN,Villa,4,2210,10,4.78,30.11,53.9,14.71 kWh,16.7 kWh,13.53,16.28,0
IN-KL-ELC-85879717,20-01-2023,IN_KL_ALP,Apartment,1,2619,15,5.08,24.36,83.49,12.23 kWh,18.205241198199868 kWh,48.86,16.47,1
IN-KL-ELC-68343808,21-01-2023,IN_KL_ERN,Apartment,2,2135,8,5.8,31.54,49.36,12.84 kWh,12.17 kWh,-5.22,16.61,0
IN-KL-ELC-49701826,27-01-2023,IN_KL_ALP,Independent House,6,2722,8,3.13,27.83,67.57,14.46 kWh,13.92 kWh,-3.73,17.83,0
IN-KL-ELC-11739503,05-01-2023,IN_KL_ERN,Apartment,2,866,21,6.44,25.12,68.23,16.29 kWh,21.315463143006266 kWh,30.85,16.61,1
IN-KL-ELC-79975445,08-01-2023,IN_KL_ERN,Villa,5,2520,15,6.56,31.87,74.86,19.4 kWh,21.45 kWh,10.57,16.28,1
IN-KL-ELC-63597471,10-01-2023,IN_KL_ALP,Independent House,2,2460,13,6.73,33.82,74.16,15.86 kWh,27.223375588398056 kWh,71.65,17.83,1
IN-KL-ELC-67217429,09-01-2023,IN_KL_TVM,Independent House,1,901,12,6.19,30.43,73.7,13.23 kWh,null,-3.7,16.89,1
IN-KL-ELC-83633639,27-01-2023,IN_KL_TVM,Villa,4,1490,9,2.88,30.72,75.54,13.05 kWh,18.257445557982244 kWh,39.9,16.02,1
IN-KL-ELC-82593211,10-01-2023,IN_KL_TVM,Independent House,6,2185,18,3.67,28.8,62.93,18.51 kWh,18.09 kWh,-2.27,16.89,0
IN-KL-ELC-54399325,20-01-2023,IN_KL_ERN,Independent House,3,906,7,7.79,31.06,73.59,15.03 kWh,null,69.19,16.43,1
IN-KL-ELC-26306854,10-01-2023,IN_KL_ALP,Independent House,5,2616,11,7.08,29.59,77.13,17.75 kWh,25.932830017206236 kWh,46.1,17.83,1
IN-KL-ELC-50932588,10-01-2023,IN_KL_ERN,Apartment,6,578,10,7.84,39.07,69.39,21.79 kWh,29.78519655880576 kWh,36.69,16.61,1
IN-KL-ELC-93121901,23-01-2023,IN_KL_ERN,Villa,6,1367,7,5.36,28.23,63.92,15.84 kWh,16.96 kWh,7.07,16.28,0
IN-KL-ELC-42410429,13-01-2023,IN_KL_ERN,Apartment,4,2455,7,2.57,33.05,80.37,12.52 kWh,11.1 kWh,-11.34,16.61,1
IN-KL-ELC-95384842,03-01-2023,IN_KL_TVM,Independent House,3,992,13,7.19,27.18,64.75,null,null,8.06,16.89,1
IN-KL-ELC-58776490,22-01-2023,IN_KL_ALP,Apartment,1,679,14,7.14,32.54,84.64,15.11 kWh,13.57 kWh,-10.19,16.47,0
IN-KL-ELC-40605535,05-01-2023,IN_KL_ALP,Independent House,1,755,12,3.42,32.57,52.39,11.49 kWh,11.65 kWh,1.39,17.83,1
IN-KL-ELC-84084868,11-01-2023,IN_KL_ERN,Independent House,4,1638,19,7.45,36.19,60.4,21.68 kWh,18.9 kWh,-12.82,16.43,0
IN-KL-ELC-88053158,06-01-2023,IN_KL_ALP,Apartment,5,1052,7,5.22,31.52,70.09,15.41 kWh,15.78 kWh,2.4,16.47,0
IN-KL-ELC-60604864,10-01-2023,IN_KL_ERN,Villa,4,2704,21,2.64,37.3,58.51,18.78 kWh,19.27 kWh,2.61,16.28,0
IN-KL-ELC-61429232,14-01-2023,IN_KL_ERN,Apartment,2,2530,18,6.57,28.36,45.53,16.22 kWh,27.99034628025395 kWh,72.57,16.61,1
IN-KL-ELC-85195758,03-01-2023,IN_KL_TVM,Apartment,2,1932,21,6.24,29.46,66.32,17.29 kWh,18.39 kWh,6.36,17.26,0
IN-KL-ELC-94272884,04-01-2023,IN_KL_ALP,Apartment,1,896,21,5.61,31.09,65.06,16.12 kWh,25.724040676277326 kWh,59.58,16.47,1
IN-KL-ELC-48945390,13-01-2023,IN_KL_ERN,Independent House,2,2034,13,6.02,36.2,64.29,null,null,-5.5,16.43,1
IN-KL-ELC-92753493,11-01-2023,IN_KL_ERN,Apartment,5,2546,17,7.11,32.92,52.82,20.86 kWh,20.14 kWh,-3.45,16.61,0
IN-KL-ELC-87103622,08-01-2023,IN_KL_ERN,Villa,5,2637,13,5.22,31.34,81.34,17.51 kWh,17.87 kWh,2.06,16.28,0
IN-KL-ELC-73898526,01-01-2023,IN_KL_TVM,Independent House,5,1725,11,7.14,24.35,46.51,16.39 kWh,null,62.71,16.89,1
IN-KL-ELC-88053158,07-01-2023,IN_KL_ALP,Apartment,5,1052,7,5.22,28.09,69.08,14.63 kWh,13.62 kWh,-6.9,16.47,0
IN-KL-ELC-55638606,06-01-2023,IN_KL_ERN,Villa,6,463,9,3.28,33.85,52.97,16.3 kWh,25.754669351072778 kWh,58,16.28,1
IN-KL-ELC-92687993,11-01-2023,IN_KL_ALP,Apartment,3,1273,16,6.04,32.26,61.72,17.19 kWh,15.74 kWh,-8.44,16.47,0
IN-KL-ELC-20063517,22-01-2023,IN_KL_TVM,Independent House,6,2560,21,4.08,31.53,71.49,20.67 kWh,20.73 kWh,0.29,16.89,0
IN-KL-ELC-61700190,02-01-2023,IN_KL_TVM,Independent House,1,1371,8,5.28,36.1,55.5,12.07 kWh,12.59 kWh,4.31,16.89,0
IN-KL-ELC-69957771,07-01-2023,IN_KL_ERN,Apartment,2,2148,13,5.81,30,67.72,14.31 kWh,16.01 kWh,11.88,16.61,0
IN-KL-ELC-95024504,14-01-2023,IN_KL_ALP,Apartment,6,1523,16,7.42,33.31,81.6,22.01 kWh,22.74 kWh,3.32,16.47,1
IN-KL-ELC-13024599,16-01-2023,IN_KL_TVM,Independent House,6,2725,6,6.08,29.44,75.87,16.32 kWh,25.58061946535752 kWh,56.74,16.89,1
IN-KL-ELC-77385755,02-01-2023,IN_KL_TVM,Apartment,4,484,19,6.29,25.94,45.78,17.81 kWh,null,-7.47,17.26,1
IN-KL-ELC-96990855,29-01-2023,IN_KL_ALP,Villa,5,1908,19,4.49,22.49,59.45,16.61 kWh,17.42 kWh,4.88,16.26,0
IN-KL-ELC-64375065,30-01-2023,IN_KL_ERN,Apartment,3,828,6,6.29,31.82,62.98,13.68 kWh,21.993276569333517 kWh,60.77,16.61,1
IN-KL-ELC-82741791,23-01-2023,IN_KL_ERN,Independent House,3,1297,9,7.49,34.89,49.23,16.39 kWh,17.63 kWh,7.57,16.43,0
IN-KL-ELC-13794510,17-01-2023,IN_KL_TVM,Independent House,5,2791,20,4.67,29.92,57.97,19.18 kWh,17.54 kWh,-8.55,16.89,0
IN-KL-ELC-57340243,14-01-2023,IN_KL_ERN,Independent House,6,823,7,5.16,31.28,67.88,16.43 kWh,13.32 kWh,-18.93,16.43,1
IN-KL-ELC-59350609,29-01-2023,IN_KL_ERN,Apartment,2,2188,20,4.97,28.24,84.59,15.7 kWh,13.16 kWh,-16.18,16.61,0
IN-KL-ELC-50932588,20-01-2023,IN_KL_ERN,Apartment,6,578,10,7.84,26.91,56.63,18.29 kWh,null,43.2,16.61,1
IN-KL-ELC-28743962,24-01-2023,IN_KL_ERN,Independent House,6,1543,15,5.27,30.24,46.42,19.07 kWh,18.46 kWh,-3.2,16.43,0
IN-KL-ELC-70410608,29-01-2023,IN_KL_TVM,Independent House,2,2108,18,4.47,27.16,47.93,14.41 kWh,20.328551901194565 kWh,41.07,16.89,1
IN-KL-ELC-47405775,09-01-2023,IN_KL_ERN,Apartment,2,1840,6,4.4,27.05,55.18,10.32 kWh,10.96 kWh,6.2,16.61,1
IN-KL-ELC-90825900,17-01-2023,IN_KL_ALP,Independent House,3,2379,14,4.54,30.53,69.03,14.92 kWh,25.97507251119174 kWh,74.1,17.83,1
IN-KL-ELC-54052905,24-01-2023,IN_KL_ALP,Villa,5,609,16,7.57,26.23,67.26,18.85 kWh,20.19 kWh,7.11,16.26,0
IN-KL-ELC-91812452,05-01-2023,IN_KL_ALP,Apartment,1,1952,10,4.27,27.63,57.45,10.61 kWh,15.066685783486887 kWh,42,16.47,1
IN-KL-ELC-34642880,29-01-2023,IN_KL_ALP,Independent House,4,701,18,6.73,37.67,69.11,21.13 kWh,21.61 kWh,2.27,17.83,0
IN-KL-ELC-86774785,26-01-2023,IN_KL_ERN,Independent House,4,2185,19,3.67,28.38,52.77,16.59 kWh,16.67 kWh,0.48,16.43,0
IN-KL-ELC-64375065,05-01-2023,IN_KL_ERN,Apartment,3,828,6,6.29,24.62,73.07,12.24 kWh,14.287783902853063 kWh,16.73,16.61,0
IN-KL-ELC-54025412,30-01-2023,IN_KL_TVM,Villa,4,2792,10,6.83,28.62,79.38,15.89 kWh,24.533337712452692 kWh,54.39,16.02,1
IN-KL-ELC-38289970,12-01-2023,IN_KL_TVM,Apartment,1,2029,12,4.03,24.42,55.01,10.56 kWh,9.07 kWh,-14.11,17.26,1
IN-KL-ELC-24983334,05-01-2023,IN_KL_ERN,Apartment,2,1521,21,4.83,33.6,47.39,17.26 kWh,16.12 kWh,-6.6,16.61,0
IN-KL-ELC-58140776,11-01-2023,IN_KL_ERN,Villa,6,1760,21,3.97,33.71,53.65,21.25 kWh,19.9 kWh,-6.35,16.28,0
IN-KL-ELC-69429201,15-01-2023,IN_KL_ERN,Villa,2,749,12,5.97,22.25,51.94,12.44 kWh,13.1 kWh,5.31,16.28,0
IN-KL-ELC-65980523,29-01-2023,IN_KL_TVM,Apartment,2,1885,7,5.79,30.06,76.03,12.2 kWh,13.46 kWh,10.33,17.26,0
IN-KL-ELC-70260372,24-01-2023,IN_KL_ERN,Independent House,5,1054,8,4.03,31.18,83.65,14.78 kWh,14.59 kWh,-1.29,16.43,0
IN-KL-ELC-72602002,12-01-2023,IN_KL_ALP,Villa,3,2543,7,3.68,32.47,68.72,12.14 kWh,null,67.21,16.26,1
IN-KL-ELC-89330274,05-01-2023,IN_KL_ERN,Independent House,2,2501,18,6.94,34.77,45.68,18.11 kWh,19.16 kWh,5.8,16.43,0
IN-KL-ELC-76726031,19-01-2023,IN_KL_ERN,Independent House,2,849,9,7.27,30.18,58.35,14.04 kWh,24.06845959391411 kWh,71.43,16.43,1
IN-KL-ELC-55638606,12-01-2023,IN_KL_ERN,Villa,6,463,9,3.28,28.34,76.42,15.03 kWh,null,4.39,16.28,1
IN-KL-ELC-61949394,18-01-2023,IN_KL_ERN,Independent House,2,1004,14,5.67,31.07,67.77,14.79 kWh,null,67.8,16.43,1
IN-KL-ELC-65776530,30-01-2023,IN_KL_ERN,Independent House,2,1793,7,3.51,27.77,52.94,10.13 kWh,10.92 kWh,7.8,16.43,1
IN-KL-ELC-34712069,29-01-2023,IN_KL_ALP,Apartment,4,2523,21,2.53,34.66,77.25,18.03 kWh,20.38 kWh,13.03,16.47,0
IN-KL-ELC-96573799,18-01-2023,IN_KL_ERN,Villa,4,578,19,4.5,26.28,54.29,16.64 kWh,17.47 kWh,4.99,16.28,0
